"Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril, Canada, mai 2023",,,,,,,,,,
,,,,,,,,,,
Nom commun,Nom scientifique,Groupe d'espèces,Désignation de la Loi sur les espèces en péril,Version finale du document de rétablissement,COSEWIC Date de réévaluation,Date du rapport sur les progrès de la mise en œuvre du programme de rétablissement,Objectifs du document de rétablissement,Données sur les espèces,Logique,Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril
Aster du golfe Saint–Laurent,Symphyotrichum laurentianum,"Plante vasculaire, herbe",Menacée,10/23/2012,5/1/2023,,"Maintenir et, si possible, augmenter le nombre d’individus et la zone d’occupation à chacune des 16 occurrences déterminées comme cibles prioritaires, dont neuf sont situées au Québec, quatre au Nouveau-Brunswick et trois à l’Île-du-Prince-Édouard.","Parmi les douze sous-populations existantes des parcs nationaux de l’Île-du-Prince-Édouard et Kouchibouguac, trois à cinq sous-populations pourraient dépendre de réintroductions continues. Dans les sites existants, le nombre d’individus matures a diminué depuis le précédent dénombrement de l’espèce. Treize sous?populations sont probablement disparues.",Les sous-populations sont en déclin et dépendent de l’intervention humaine.,Ne montre aucun progrès
Porte-queue demi-lune,Satyrium semiluna,Insecte,En voie de disparition,6/17/2016,12/1/2022,,Assurer la persistance des populations du porte-queue demi-lune dans toutes les localités existantes connues (et dans toute nouvelle localité) à l’intérieur de l’aire de répartition de l’espèce au Canada.,On ne dispose d’aucun renseignement sur la taille ou les tendances de l’effectif de la population de l’Okanagan et de la Similkameen ou celle des Lacs-Waterton.,Les méthodes d’évaluation de la population ne sont pas destinées à fournir des estimations des effectifs.,Données insuffisantes pour déterminer les tendances
Bartramie de Haller,Bartramia halleriana,Mousse,Menacée,10/20/2010,11/1/2011,11/1/2011,"Maintenir ou accroître la taille des populations dans tous les 10 sites existants. Si possible, réintroduire l'espèce dans les sites où elle a déjà été présente, si l'habitat est propice ou peut être rendu tel.","En novembre 2001, 4 populations (3 récentes, 1 historique) étaient répertoriées. En date de novembre 2011, 12 populations additionnelles avaient été repérées. Une population a disparu récemment, entraînant la perte d'au moins 1 colonie. Donc, 15 populations existantes sont confirmées et 1 population est disparue, pour un total de 16 populations. Il semble qu'une population est en déclin. Actuellement, 9 populations semblent stables et l'on ne connaît pas les tendances des 5 populations les plus récemment découvertes. L'effectif total de l'espèce au Canada est estimé à 1 173 individus matures (colonies).","Actuellement, 9 populations semblent stables et l'on ne connaît pas les tendances des 5 populations les plus récemment découvertes.",Montre des progrès
Marsouin commun (Population de l'océan Pacifique),Phocoena phocoena,Mammifère,Préoccupante,4/12/2009,4/1/2016,10/2/2018,Maintenir une population autonome dans son aire de répartition connue dans les eaux canadiennes du.,On ne dispose pas de données de relevé systématiques ou de données sur les tendances des populations. L'abondance a été estimée à 9 120 individus en 2004 et 2005 dans les eaux côtières de la Colombie-Britannique (à l'exclusion de l'ouest de l'île de Vancouver et de l'archipel Haida Gwaii).,Les tendances des populations ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Phoque commun de la sous-espèce des Lacs des Loups Marins,Phoca vitulina mellonae,Mammifère,En voie de disparition,6/8/2018,4/1/2018,,"L’objectif de répartition du présent programme est de maintenir l’aire de répartition
actuelle du phoque commun des lacs des Loups Marins.","Le peu d’information disponible ne permet pas d’établir une estimation fiable de l’abondance du phoque commun des lacs des Loups Marins. Il n’est pas possible actuellement de calculer les tendances de l’abondance à l’échelle de l’aire de répartition.
",Les tendances des populations ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Arlequin plongeur (Population de l'Est),Histrionicus histrionicus,Oiseau,Préoccupante,6/20/2007,11/1/2013,11/1/2013,Maintenir une population hivernante de 3 000 Arlequins plongeurs dans l'est de l'Amérique du Nord pendant 3 de 5 années consécutives.,"On estime que de 3 226 à 3 420 adultes passent l'hiver le long de la côte est de l'Amérique du Nord. Cette population hivernante est formée d'individus provenant exclusivement de lieux de reproduction canadiens. Bien qu'elle soit encore petite par rapport aux niveaux historiques, cette population hivernante a augmenté depuis l'arrêt de la chasse en 1990. On estime que la tendance de la population de 1981 à 2013 pour les individus qui hivernent dans l'est de l'Amérique du Nord est à la hausse, avec une augmentation d'environ 5 % par année.",L'effectif de la population augmente et il semble que les objectifs en matière de population aient été atteints.,Montre des progrès
Bruant de Henslow,Ammodramus henslowii,Oiseau,En voie de disparition,8/18/2010,5/1/2011,5/1/2011,"Atteindre au moins 1 population reproductrice stable composée de 5 à 10 couples d'ici 2015.

Le programme de rétablissement a été modifié le 15 septembre 2010. Aucun changement n'a été apporté aux objectifs de rétablissement mis en place plus tôt en 2010.","L'abondance et l'aire de reproduction du Bruant de Henslow ont subi des fluctuations importantes, en réaction à l'évolution de la disponibilité de l'habitat. Les observations signalées depuis 1985 sont trop peu nombreuses pour permettre d'établir les tendances récentes. Il n'y a aucun signe d'augmentation dans la période de 2000 à 2011.",Les données sont trop peu nombreuses pour permettre d'établir les tendances récentes. ,Données insuffisantes pour déterminer les tendances
Pycnanthème gris,Pycnanthemum incanum,"Plante vasculaire, herbe",En voie de disparition,11/20/2007,11/1/2011,11/1/2011,Augmenter la taille des populations existantes jusqu'à des niveaux autosuffisants.,"Aucune baisse du nombre d'individus matures n'a été signalée, et, en raison de nouvelles découvertes, la population comprend maintenant plus de 250 individus. Il existe 2 populations connues de cette espèce.
Une autre sous-population a été découverte en 2010, et semble s'être établie à partir d'une banque de semences existante après la restauration du site entamée à l'automne 2008. Au moment de l'évaluation, elle comprenait 15 semis.",La taille des populations n'est pas assez bien documentée pour permettre de dégager des tendances. ,Données insuffisantes pour déterminer les tendances
Paruline à capuchon,Setophaga citrina,Oiseau,Non en péril,5/1/2012,5/1/2012,5/1/2012,"Accroître le nombre de couples reproducteurs à 500, distribués dans l'aire de répartition actuelle de l'espèce.","Les données provenant de l'ensemble des sources indiquent une tendance à une forte augmentation de l'abondance et de la répartition de la population au Canada. Selon les estimations de 2013, la population canadienne compterait de 500 à 1 000 couples reproducteurs. Les recherches menées dans les localités de reproduction confirmées et potentielles ont permis de documenter l'augmentation continue de la taille de la population, du nombre de sites occupés et de l'étendue de l'aire de reproduction.",La croissance de la population a atteint les objectifs de rétablissement.,Montre des progrès
Physe d'eau chaude,Physella wrighti,Mollusc,En voie de disparition,1/29/2007,4/1/2008,5/25/2022,Maintenir et protéger la ou les populations dans leur aire de répartition naturelle et veiller à ce que leur abondance soit maintenue.,"Les relevés de population réalisés entre 2016 et 2019 dans le parc provincial Liard River Hot Springs semblent indiquer que les conditions de l’habitat de la physe d’eau chaude et l’abondance de la population de cette espèce restent stables. La répartition de la physe d’eau chaude dans le bassin Alpha, le complexe Bêta et les ruisseaux de déversement a été maintenue. ",Les relevés de la population réalisés entre 2016 et 2019 continuent de laisser entendre que l’abondance relative de la physe d’eau chaude est restée stable. ,Montre des progrès
Ptychomitre à feuilles incurvées,Ptychomitrium incurvum,Mousse,Disparue du pays,11/20/2007,11/1/2021,,"À l'heure actuelle, le rétablissement de l'espèce est jugé non réalisable sur les plans technique et biologique. Le caractère réalisable du rétablissement sera réévalué si les conditions et/ou les connaissances changent.",Le seul signalement documenté au Canada a eu lieu en 1825 dans le sud de l’Ontario. Cette espèce n’a jamais été redécouverte.,n/d,Irréalisable
Bleu insulaire,Plebejus saepiolus insulanus,Insecte,En voie de disparition,7/15/2008,12/1/2022,,Confirmer la présence de cette sous-espèce à l'intérieur de son aire de répartition historique au Canada et assurer la protection de toute population existante.,"Cette espèce n'a pas été observée sur le terrain depuis 1979. Cependant, les efforts de recherche sont insuffisants pour conclure qu'elle est disparue.",n/d,Objectifs opérationnels
Marbré insulaire,Euchloe ausonides insulanus,Insecte,Disparue du pays,8/11/2006,12/1/2022,,Atteindre des populations autosuffisantes viables dans l'aire de répartition historique de l'espèce au Canada.,"Ce papillon était auparavant présent dans deux îles au large de la côte ouest, mais il avait disparu des deux sites en 1910 à cause de la disparition de la plante hôte de sa chenille. L’aire de répartition canadienne historique du marbré insulaire a fait l’objet de vastes relevés de 2001 à 2008, dans le cadre d’activités visant à localiser l’espèce ainsi que d’autres papillons en péril. Au cours de ces relevés, aucun individu de l’espèce et aucun habitat jugé convenable n’ont été détectés. Tout semble indiquer que le marbré insulaire soit disparu du Canada.",Les éléments de preuve disponibles semblent indiquer que le Marbré insulaire est disparu du Canada. ,Ne montre aucun progrès
